,tconst,averageRating,numVotes
445060,tt10004108,4.7,1172
445062,tt10004118,6.0,15
445087,tt10004368,7.0,1260
445088,tt10004372,9.3,8
445090,tt10004396,5.0,54
445091,tt10004456,7.2,166
445095,tt10004574,4.7,28
445129,tt10004944,4.0,307
445143,tt10005130,6.9,12
445147,tt10005184,7.5,53
445153,tt10005378,5.2,16
445184,tt10005622,4.8,120
445195,tt10005688,8.4,5
445224,tt10005864,6.5,15
445245,tt10006006,5.4,7292
445251,tt10006056,6.2,27
445260,tt10006122,6.3,40
445266,tt10006160,4.8,361
445275,tt10006270,4.9,674
445276,tt10006274,8.0,11
445286,tt10006510,9.6,8
445319,tt10007268,5.8,35
445355,tt10007820,6.0,137
445360,tt10007978,5.7,117
445408,tt10008602,9.0,6
445411,tt10008784,6.3,4079
445419,tt10008996,8.5,7
445420,tt10009030,5.8,3267
445424,tt10009098,7.9,67
445441,tt10009434,5.3,276
445448,tt10009602,7.2,20
445458,tt10009878,4.8,21
445463,tt10009978,4.6,52
445486,tt10010368,7.9,918
445500,tt10010748,8.5,29
445509,tt10010814,7.1,116
445528,tt10011002,5.5,149
445540,tt10011102,7.6,105
445541,tt10011146,7.7,7
445552,tt10011226,7.3,256
445553,tt10011228,5.3,2353
445554,tt10011232,7.3,434
445555,tt10011238,7.4,5
445556,tt10011240,9.0,12
445557,tt10011244,5.8,23
445558,tt10011252,8.3,123
445559,tt10011264,7.0,87
445561,tt10011270,7.6,99
445562,tt10011284,7.5,62
445563,tt10011296,6.9,1104
445565,tt10011302,5.8,60
445567,tt10011312,7.6,247
445569,tt10011320,6.3,250
445570,tt10011336,6.3,1680
445571,tt10011342,6.7,47
445573,tt10011362,6.5,68
445581,tt10011402,7.6,205
445585,tt10011412,6.7,1134
445591,tt10011448,8.0,2257
445593,tt10011480,7.4,93
445594,tt10011500,7.3,454
445596,tt10011508,7.3,2085
445599,tt10011534,6.9,214
445604,tt10011682,6.3,278
445605,tt10011772,6.3,24
445607,tt10011852,6.9,28
445655,tt10012964,7.9,307
445657,tt10013072,6.2,167
445689,tt10013634,7.6,11
445721,tt10014100,7.4,7
445724,tt10014132,8.7,9
445751,tt10014534,7.0,133
445757,tt10014616,8.5,11
445786,tt10014838,6.5,182
445805,tt10015222,5.8,10
445807,tt10015234,6.2,24
445808,tt10015244,5.2,3578
445810,tt10015248,6.5,50
445813,tt10015286,6.6,2664
445824,tt10015418,6.6,38
445836,tt10015644,7.8,24
445850,tt10015802,9.2,7
445851,tt10015812,6.2,306
445864,tt10016152,8.7,35
445866,tt10016180,6.3,107837
445869,tt10016388,6.4,48
445871,tt10016428,5.5,28
445872,tt10016436,6.3,64
445875,tt10016502,6.0,19
445878,tt10016532,6.4,604
445884,tt10016640,7.7,24
445913,tt10017454,6.5,130
445914,tt10017460,4.8,15
445916,tt10017566,5.4,114
445917,tt10017680,5.8,737
445918,tt10017956,6.8,2767
445930,tt10018386,6.3,46
445951,tt10019108,5.8,270
445956,tt10019402,7.1,387
445979,tt10020682,7.4,46
446015,tt10021478,7.2,5
446018,tt10021582,2.5,256
446020,tt10021622,7.2,59
446031,tt10021804,6.1,11
446039,tt10022010,6.4,27
446046,tt10022158,7.4,321
446048,tt10022384,5.6,797
446055,tt10022684,8.0,9
446057,tt10022716,5.9,450
446061,tt10022782,6.0,36
446064,tt10022864,5.4,8
446065,tt10022870,8.5,14
446070,tt10022974,6.8,148
446073,tt10022990,5.4,369
446079,tt10023022,5.6,8983
446080,tt10023024,4.6,9883
446084,tt10023080,7.0,321
446086,tt10023150,5.3,611
446088,tt10023172,5.4,742
446098,tt10023274,8.1,20
446101,tt10023286,6.2,8711
446141,tt10023812,6.9,19
446142,tt10024036,9.8,5
446143,tt10024044,8.2,10
446175,tt10024716,6.9,38
446230,tt10025196,5.3,10
446270,tt1002563,5.7,3698
446287,tt10025972,8.4,5
